,name,latitude,longitude
0,Poe Park,40.86502982289383,-73.89469555864792
1,Columbus Park,40.715881997,-73.99939568899998
2,Great Kills Park,40.555566214544,-74.10835191954993
3,Willowbrook Park,40.59860980984273,-74.16061324995901
4,Samuel N. Bennerson 2nd Playground,40.77382394222365,-73.98695384422925
5,Marcus Garvey Park,40.80487963775496,-73.94461641645344
6,Canarsie Park,40.62896178347125,-73.89597212051484
7,John Jay Park,40.76923883495497,-73.94948322532899
8,Parkside Playground,40.86838375316648,-73.86802899006379
9,Andrew Haswell Green Park,40.75950709693736,-73.9576252815491
10,Thomas Jefferson Recreation Center,40.79320242368964,-73.93559005030862
11,Gertrude Ederle Recreation Center,40.7714586814125,-73.98874073840418
12,Chelsea Recreation Center,40.748296323256085,-74.00221961438312
13,Hansborough Recreation Center,40.812834972425016,-73.93933148857813
14,Arverne Playground,40.592857550227215,-73.78518320529425
15,Junction Playground,40.75470696888977,-73.8721431117931
16,Little Flower Playground,40.71244727,-73.98847385
17,J. Hood Wright Recreation Center,40.84644474279754,-73.94076290930661
18,Utopia Playground,40.73072572957852,-73.79277632002236
19,Frank Principe Park,40.727467415052416,-73.90473913583541
20,Baisley Park Extension,40.7173550195,-73.88076501499998
21,Playground Ninety,40.75797088460332,-73.87869543258307
22,Saw Mill Playground,40.8092072037143,-73.92007866219203
23,Pelham Parkway,40.86149944535296,-73.85832948069411
24,Playground 52 LII,40.81515880573534,-73.9016877275872
25,Astoria Heights Playground,40.761012584861824,-73.9113136756413
26,Joyce Kilmer Park,40.82852586733416,-73.92266031459101
27,Ehrenreich-Austin Playground,40.715782375298566,-73.83704310960857
28,Tony Dapolito Recreation Center,40.73719957603311,-74.00117802645822
29,Leif Ericson Park,40.6326800792,-73.99669504409998
30,Hunts Point Playground,40.814268948040365,-73.88588840037481
31,Electric Playground,40.735763944405846,-73.80541890221272
32,Bushwick Inlet Park,40.721913858884754,-73.96059658805234
33,Beach 59th St Playground,40.58888761048391,-73.78905607921051
34,Melrose Playground,40.8204476279,-73.9182587338
35,McCarren Park,40.72085749479431,-73.95184205328233
36,Van Cortlandt Park,40.899993,-73.89221899999998
37,Owl's Head Park,40.64014251403479,-74.0322502812654
38,St. James Park,40.86455021073608,-73.89902126651475
39,Soundview Park,40.81157999138988,-73.866232722789
40,Crispus Attucks Playground,40.68161103342113,-73.95920770297003
41,American Veterans Memorial Pier,40.6396449488587,-74.03778230424673
42,Shore Park and Parkway,40.616189790720334,-74.03947648209945
43,Central Park,40.7825056154,-73.9655457389
44,West Brighton,40.6358490034086,-74.11788864775302
45,CPL. Thompson Park,40.637007465317126,-74.11900748484467
46,Fort Totten Park,40.793106677898926,-73.7778921925238
47,Fisher Pool,40.75847488564897,-73.86958498014229
48,Wagner,40.79821652909184,-73.9315358729635
49,Midland Field,40.57715505589725,-74.10017773602958
50,Williamsbridge Oval Park,40.8776357451,-73.87738712959998
51,Henry Hudson Park,40.88132945339785,-73.91996278052694
52,Kelly Park,40.6703310495,-73.9973790562
53,Seton Park,40.8859111384384,-73.91699860563267
54,Sunset Park,40.64797628553995,-74.00374343756158
55,Captain Tilly Park,40.711428860824896,-73.7982399553974
56,PS 38,40.78868300865702,-73.94476829735268
57,MacDonald Park,40.72223725171553,-73.84680327286057
58,Barretto Point Park,40.8050009475,-73.88836437987288
59,Bill Rainey Park,40.81878921163537,-73.89749507508756
60,Wright Brothers Playground,40.83161556319176,-73.94215219913517
61,Yellowstone Park,40.72623239878484,-73.84789197894138
62,Paul Raimonda Playground,40.77279930203212,-73.89744962220686
63,Travers Park,40.7547550692,-73.8757500656
64,Flushing Fields,40.77595968814597,-73.81716579590238
65,Colden Playground,40.77014680456395,-73.82814081636128
66,Lost Battalion Hall Recreation Center,40.73180427224514,-73.86551322676301
67,Harris Park,40.875275341326855,-73.89269765245267
68,Beach Channel Drive,40.58200699999999,-73.84980800000001
69,Kissena Park,40.74534639482072,-73.8048286029859
70,Prospect Park,40.666899529470136,-73.97370645975641
71,Annadale,40.540471,-74.179547
72,Rory Staunton Field,40.754409601747646,-73.88845374635045
73,Fort Tryon Park,40.86183795727607,-73.93297477025357
74,Rockaway Beach and Boardwalk,40.5929359308678,-73.75329914319006
75,Vidalia Park,40.843864943676415,-73.88143061087611
76,Story Playground,40.82291343696168,-73.86284389381714
77,Detective Keith L Williams Park,40.70288383183584,-73.78442920492648
78,Maria Hernandez Park,40.702989775786925,-73.92403859606797
79,Stroud Playground,40.67457254616263,-73.96091086519225
80,Thomas Greene Playground,40.68031718709592,-73.98535191831799
81,Cooper Park,40.718445460753685,-73.93962438734386
82,Msgr. McGolrick Park,40.72444093481168,-73.9433539512939
83,Flushing Meadows Corona Park,40.74332535386196,-73.84180827269277
84,Playground Eighty Nine LXXXIX,40.78864452012372,-73.97189111641
85,Poor Richard's Playground,40.792865044,-73.94372405999998
86,Clove Lakes Park,40.61565170667998,-74.10731063534317
87,Von Briesen Park,40.6077514441676,-74.05862257880285
88,Conference House Park,40.499752687308,-74.2421189338822
89,Happy Warrior Playground,40.79487326654289,-73.96854335409715
90,Vesuvio Playground,40.725616284126495,-74.00249368421386
91,Wolfe's Pond Park,40.5203382577664,-74.19097568793988
92,Westerleigh Park,40.61982586796879,-74.13445965567215
93,Playground for all Children,40.7408820080825,-73.84950827936643
94,Bayswater Park,40.59876227939159,-73.76750289656583
95,Stanley Isaacs Playground,40.78272474829578,-73.94462478514302
96,Virginia Park,40.83347903869148,-73.8621797557451
97,St. Catherine's Park,40.76519440811819,-73.95872137018135
98,Thomas Jefferson Park,40.79320242368964,-73.93559005030862
99,Washington Square Park,40.73113254072749,-73.99563630251679
100,Crotona Park,40.8303050688,-73.90823502249998
101,Corporal John A. Seravalli Playground,40.73893002703863,-74.00466546707516
102,Morningside Park,40.80576045046855,-73.95837977264466
103,Marx Brothers Playground,40.78411354585458,-73.94564822180699
104,Jackie Robinson Park,40.82426923722596,-73.94244846688323
105,Tecumseh Playground,40.781904170022095,-73.97871090739838
106,Frederick Douglass Playground,40.7970993326102,-73.9675296513832
107,Baruch Playground,40.71653059755652,-73.97931273514027
108,Bailey Playground,40.8811285986865,-73.90077205553325
109,J. Hood Wright Park,40.84644474279754,-73.94076290930661
110,Behagen Playground,40.82494832590303,-73.90155534260776
111,Bloomingdale Park,40.5449500109,-74.18039005519998
112,Tompkins Square Park,40.72645206121996,-73.98171294106962
113,Gorman Playground,40.7619308861098,-73.88415605786075
114,Juniper Valley Park,40.72018377353737,-73.88042524868261
115,Crocheron Park,40.77153237349183,-73.76755296863075
116,Broad Channel Park,40.60073186973284,-73.82005161120154
117,Elmhurst Park,40.7289342852714,-73.88524731408285
118,St. Nicholas Park,40.799979065872165,-73.95212930351603
119,Moore Playground,40.809377021390354,-73.93849268705854
120,Harry Maze Playground,40.6434178406541,-73.92317587811444
121,Queensbridge Park,40.75662967331753,-73.94759447272375
122,Concrete Plant Park,40.83281558210864,-73.88288716858683
123,Marc And Jason's Playground,40.66370336215993,-73.94882739635176
124,Horace Harding Playground,40.733167970203496,-73.86032811660105
125,Dyker Beach Park,40.61688583163074,-74.02146930826032
126,Stars & Stripes Playground,40.88616513820424,-73.84042970775499
127,Franklin D. Roosevelt Boardwalk and Beach,40.59034585106621,-74.0650909039889
128,Patterson Playground,40.8157829120323,-73.92228540808419
129,Ferry Point Park,40.81238153211804,-73.83329157194417
130,Macombs Dam Park,40.82748827529305,-73.92837760910173
131,John Hancock Playground,40.68244315440987,-73.95432510695521
132,Carroll Park,40.68051177008108,-73.9965483243245
133,Commodore Barry Park,40.69723799214734,-73.97796099134197
134,Linden Park,40.65825087827369,-73.88746896049673
135,Bill Brown Playground,40.5917612434562,-73.94559631511923
136,Hunts Point Riverside Park,40.8176824444019,-73.88160081555483
137,Orchard Beach,40.8751850202,-73.81128004619998
138,Watson Gleason Playground,40.8296650359,-73.86961509299998
139,Playground 103 CIII,40.786992678772286,-73.9391349525701
140,Fred Samuel Playground,40.8171557462378,-73.93923671655433
141,Chelsea Park,40.749941647750255,-74.000728257456
142,Sara D. Roosevelt Park,40.718805002590976,-73.99304320268173
143,Bill Bojangles Robinson Playground,40.82527970170019,-73.93729268838922
144,Tremont Park,40.84050370300368,-73.89775674510759
145,Melrose Commons Park,40.825278,-73.912971
146,Vincent F. Albano Jr. Playground,40.742006985244245,-73.97849255692294
147,Twenty-Four Sycamores Park,40.759410312753495,-73.95886150699238
148,Castle Hill Playground,40.83841572892868,-73.85320202414442
149,Van Nest Park,40.90213664983861,-73.90487144968009
150,Pelham Bay Park,40.8303050688,-73.90823502249998
151,Highland Park,40.6828532561511,-73.88782943447706
152,Rainey Park,40.76633428749649,-73.94082278621217
153,East River Playground,40.78971559737879,-73.93908271788578
154,Haffen Park,40.873686039670986,-73.83916736477188
155,Marine Park,40.5968799572998,-73.92029964531788
156,Dr. Green Playground,40.67344540019584,-73.91142683261837
157,Aqueduct Walk,40.85669186791872,-73.90920423314222
158,Bathgate Playground,40.85280503179397,-73.89426628197617
159,Agnes Haywood Playground,40.880295826040815,-73.86181400054451
160,Bellevue South Park,40.73999869562383,-73.97808472008728
161,McKinley Park,40.62556836416592,-74.01768307649816
162,Red Hook Recreation Area,40.67238288376808,-74.00404472667202
163,Queens Hospital Center,40.717777,-73.805293
164,Schmul Park,40.5871420275,-74.1985091139
165,Brower Park,40.673828481794125,-73.94383475578145
166,Herbert Von King Park,40.68967192425743,-73.94661964903989
167,Tilden Playground,40.647895966804334,-73.93138430447152
